source,indicator_id,indicator_name,date,value,units,frequency,region,dataset,retrieval_date
IMF,NGDP_XDC,NGDP_XDC,2020-01-01,21354105.5,,Annual,US,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2021-01-01,23681171.5,,Annual,US,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2022-01-01,26006893.5,,Annual,US,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2023-01-01,27720710.5,,Annual,US,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2020-01-01,118.690501577198,,Annual,US,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2021-01-01,124.266413825838,,Annual,US,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2022-01-01,134.21120616846,,Annual,US,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2023-01-01,139.73579356326,,Annual,US,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2024-01-01,143.857336014608,,Annual,US,IFS,2025-03-15
IMF,FPOLM_PA,FPOLM_PA,2020-01-01,0.125,,Annual,US,IFS,2025-03-15
IMF,FPOLM_PA,FPOLM_PA,2021-01-01,0.125,,Annual,US,IFS,2025-03-15
IMF,FPOLM_PA,FPOLM_PA,2022-01-01,4.375,,Annual,US,IFS,2025-03-15
IMF,FPOLM_PA,FPOLM_PA,2023-01-01,5.375,,Annual,US,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2020-01-01,2103486.0,,Annual,GB,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2021-01-01,2285400.0,,Annual,GB,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2022-01-01,2526428.0,,Annual,GB,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2023-01-01,2717320.0,,Annual,GB,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2020-01-01,120.806362123174,,Annual,GB,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2021-01-01,123.848714629184,,Annual,GB,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2022-01-01,133.660070279268,,Annual,GB,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2023-01-01,142.740891437026,,Annual,GB,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2024-01-01,147.410763824672,,Annual,GB,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2020-01-01,3449620.0,,Annual,DE,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2021-01-01,3676460.0,,Annual,DE,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2022-01-01,3953850.0,,Annual,DE,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2023-01-01,4185550.0,,Annual,DE,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2024-01-01,4306410.0,,Annual,DE,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2020-01-01,113.018378926344,,Annual,DE,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2021-01-01,116.484275880086,,Annual,DE,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2022-01-01,124.489744387368,,Annual,DE,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2023-01-01,131.892448207044,,Annual,DE,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2024-01-01,134.868598852104,,Annual,DE,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2020-01-01,2318276.2,,Annual,FR,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2021-01-01,2508102.3,,Annual,FR,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2022-01-01,2655435.0,,Annual,FR,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2023-01-01,2822454.6,,Annual,FR,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2024-01-01,2916557.1,,Annual,FR,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2020-01-01,110.572946910908,,Annual,FR,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2021-01-01,112.388921149413,,Annual,FR,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2022-01-01,118.258283622798,,Annual,FR,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2023-01-01,124.027345193475,,Annual,FR,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2024-01-01,126.506713121822,,Annual,FR,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2020-01-01,539646104.0,,Annual,JP,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2021-01-01,553068304.0,,Annual,JP,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2022-01-01,560506000.0,,Annual,JP,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2023-01-01,591912608.0,,Annual,JP,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2020-01-01,105.457901212867,,Annual,JP,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2021-01-01,105.211812269292,,Annual,JP,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2022-01-01,107.839690631042,,Annual,JP,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2023-01-01,111.364035858675,,Annual,JP,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2024-01-01,114.41378098084,,Annual,JP,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2020-01-01,103486750.0,,Annual,CN,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2021-01-01,117382300.0,,Annual,CN,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2022-01-01,123402930.0,,Annual,CN,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2023-01-01,129427180.0,,Annual,CN,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2024-01-01,134908360.0,,Annual,CN,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2020-01-01,128.109443605623,,Annual,CN,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2021-01-01,129.366216637457,,Annual,CN,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2022-01-01,131.919356668535,,Annual,CN,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2023-01-01,132.229151902431,,Annual,CN,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2024-01-01,132.517581947783,,Annual,CN,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2020-01-01,192451199.21875,,Annual,IN,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2021-01-01,228315000.0,,Annual,IN,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2022-01-01,263500601.5625,,Annual,IN,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2023-01-01,288306703.125,,Annual,IN,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2020-01-01,182.988822584425,,Annual,IN,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2021-01-01,192.378724699015,,Annual,IN,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2022-01-01,205.266241146235,,Annual,IN,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2023-01-01,216.862025027426,,Annual,IN,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2024-01-01,227.603278134168,,Annual,IN,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2020-01-01,7609596.875,,Annual,BR,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2021-01-01,9012141.75,,Annual,BR,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2022-01-01,10079676.5,,Annual,BR,IFS,2025-03-15
IMF,NGDP_XDC,NGDP_XDC,2023-01-01,10943344.75,,Annual,BR,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2020-01-01,172.774291252888,,Annual,BR,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2021-01-01,187.117425058296,,Annual,BR,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2022-01-01,204.482120615775,,Annual,BR,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2023-01-01,213.87513528772,,Annual,BR,IFS,2025-03-15
IMF,PCPI_IX,PCPI_IX,2024-01-01,223.216054990026,,Annual,BR,IFS,2025-03-15
IMF,FPOLM_PA,FPOLM_PA,2020-01-01,2.0,,Annual,BR,IFS,2025-03-15
IMF,FPOLM_PA,FPOLM_PA,2021-01-01,9.25,,Annual,BR,IFS,2025-03-15
IMF,FPOLM_PA,FPOLM_PA,2022-01-01,13.75,,Annual,BR,IFS,2025-03-15
IMF,FPOLM_PA,FPOLM_PA,2023-01-01,11.75,,Annual,BR,IFS,2025-03-15
